t,icao,tpos,lat,lon,alt,tv,gs,trk,roc,t50,tas,t60,ias,mach,hdg,vwx,vwy,temp
1522942677.351114,4841D5,1522942676.600379,51.98405,5.11337,15250.0,1522942677.351114,434.0,113.91,3264.0,1522942678.0240571,396.0,1522942678.0274801,318.0,0.632,111.62100000000001,13.26,-15.8,257.1
1522942680.310832,4841D5,1522942679.2132552,51.9819,5.1222199999999996,15400.0,1522942680.310832,435.0,113.98,3072.0,1522942680.204984,394.0,1522942680.03402,316.0,0.628,111.445,13.44,-16.58,257.46
1522942681.2235868,4841D5,1522942681.2235868,51.98023,5.12818,15500.0,1522942680.310832,435.0,113.98,3072.0,1522942681.298221,394.0,1522942681.2982366,316.0,0.628,111.445,13.57,-17.19,257.68
1522942682.06359,4841D5,1522942681.663471,51.9799,5.1281,15525.0,1522942682.06359,436.0,113.92,2688.0,1522942682.332514,394.0,1522942682.432718,316.0,0.628,111.445,13.77,-17.67,258.05
1522942683.111191,4841D5,1522942682.69139,51.97906,5.13123,15550.0,1522942683.111191,437.0,113.99,2304.0,1522942682.332514,394.0,1522942682.760452,316.0,0.632,111.445,13.96,-18.1,257.69
1522942684.2835288,4841D5,1522942684.2835288,51.977740000000004,5.13718,15600.0,1522942683.111191,437.0,113.99,2304.0,1522942684.20934,396.0,1522942684.203817,317.0,0.632,111.62100000000001,14.05,-18.38,257.81
1522942685.16205,4841D5,1522942684.2835288,51.977740000000004,5.13718,15600.0,1522942685.16205,439.0,113.88,1600.0,1522942685.216357,396.0,1522942685.011725,317.0,0.632,111.79700000000001,14.24,-18.52,257.93
1522942686.225218,4841D5,1522942686.225218,51.97701,5.1432,15650.0,1522942685.16205,439.0,113.88,1600.0,1522942685.943385,396.0,1522942685.943362,318.0,0.636,111.79700000000001,14.42,-18.63,257.62
1522942687.3042722,4841D5,1522942686.225218,51.97701,5.1432,15650.0,1522942687.3042722,442.0,113.84,1536.0,1522942686.723357,398.0,1522942687.235332,319.0,0.636,111.79700000000001,14.63,-18.74,257.65
1522942688.369913,4841D5,1522942688.106269,51.97455,5.14631,15700.0,1522942688.369913,443.0,113.79,1728.0,1522942688.211329,400.0,1522942688.070703,319.0,0.636,111.79700000000001,14.77,-18.81,258.0
1522942689.473098,4841D5,1522942689.473098,51.97343,5.15227,15750.0,1522942689.286552,444.0,113.91,1984.0,1522942688.507992,400.0,1522942689.0191472,320.0,0.64,111.79700000000001,14.92,-18.92,258.08
